danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,artist,cluster
0.386,0.542,6,-8.386,1,0.0349,0.159,0.000646,0.84,0.155,128.956,audio_features,0lV6jCaX2eMYlca5KoGvSA,spotify:track:0lV6jCaX2eMYlca5KoGvSA,https://api.spotify.com/v1/tracks/0lV6jCaX2eMYlca5KoGvSA,https://api.spotify.com/v1/audio-analysis/0lV6jCaX2eMYlca5KoGvSA,365533,4,In The Journey,Martin Sexton,0
0.448,0.651,1,-3.995,1,0.0292,0.548,0.0,0.132,0.349,78.817,audio_features,4VSTjcxtHcpVI5MhWv5eUL,spotify:track:4VSTjcxtHcpVI5MhWv5eUL,https://api.spotify.com/v1/tracks/4VSTjcxtHcpVI5MhWv5eUL,https://api.spotify.com/v1/audio-analysis/4VSTjcxtHcpVI5MhWv5eUL,258853,4,Tu Vida Con La Mía,Cristian Castro,3
0.628,0.867,9,-3.555,1,0.0913,0.0108,0.0,0.308,0.597,78.043,audio_features,2dgFqylK6gyILa4HY65u0y,spotify:track:2dgFqylK6gyILa4HY65u0y,https://api.spotify.com/v1/tracks/2dgFqylK6gyILa4HY65u0y,https://api.spotify.com/v1/audio-analysis/2dgFqylK6gyILa4HY65u0y,227311,4,I'm Ready,AJR,4
0.243,0.756,0,-8.064,1,0.0432,1.65e-05,0.463,0.322,0.295,130.959,audio_features,5d6gQ9F3EZLFElsxa5pXXN,spotify:track:5d6gQ9F3EZLFElsxa5pXXN,https://api.spotify.com/v1/tracks/5d6gQ9F3EZLFElsxa5pXXN,https://api.spotify.com/v1/audio-analysis/5d6gQ9F3EZLFElsxa5pXXN,366947,4,Take As Needed for Pain - remastered 2007,Eyehategod,3
0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,audio_features,30KctD1WsHKTIYczXjip5a,spotify:track:30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/tracks/30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/audio-analysis/30KctD1WsHKTIYczXjip5a,193293,4,Tequila Shots,Kid Cudi,0
0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,audio_features,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,257840,4,Counting Stars,OneRepublic,3
0.266,0.981,10,-6.794,1,0.0793,2.54e-05,0.0851,0.171,0.18,137.984,audio_features,5hAhjF4zJTfixDjcrrM45S,spotify:track:5hAhjF4zJTfixDjcrrM45S,https://api.spotify.com/v1/tracks/5hAhjF4zJTfixDjcrrM45S,https://api.spotify.com/v1/audio-analysis/5hAhjF4zJTfixDjcrrM45S,372427,4,All of the Same Blood,Kreator,4
0.529,0.619,3,-11.936,0,0.0491,0.237,0.93,0.11,0.891,179.955,audio_features,7csOklK0Aou2Lf0kML3ofh,spotify:track:7csOklK0Aou2Lf0kML3ofh,https://api.spotify.com/v1/tracks/7csOklK0Aou2Lf0kML3ofh,https://api.spotify.com/v1/audio-analysis/7csOklK0Aou2Lf0kML3ofh,85040,3,Trancesequence,Voyage,2
0.816,0.628,9,-6.838,1,0.0876,0.0991,0.0,0.0885,0.597,77.99,audio_features,48dzlmAHbsh43YytIdUwYx,spotify:track:48dzlmAHbsh43YytIdUwYx,https://api.spotify.com/v1/tracks/48dzlmAHbsh43YytIdUwYx,https://api.spotify.com/v1/audio-analysis/48dzlmAHbsh43YytIdUwYx,236120,4,La Filosofía de Nosotros,Draw,4
0.841,0.492,5,-7.051,1,0.227,0.159,7.27e-05,0.0803,0.279,135.032,audio_features,4a3ll3Qqy2bl1YhXsZiVQy,spotify:track:4a3ll3Qqy2bl1YhXsZiVQy,https://api.spotify.com/v1/tracks/4a3ll3Qqy2bl1YhXsZiVQy,https://api.spotify.com/v1/audio-analysis/4a3ll3Qqy2bl1YhXsZiVQy,165773,4,Throw It Away,Trippie Redd,0
0.448,0.263,11,-11.98,1,0.0373,0.824,1.91e-06,0.106,0.451,109.889,audio_features,0KyzXQhY2yzcb1FYCHkZc2,spotify:track:0KyzXQhY2yzcb1FYCHkZc2,https://api.spotify.com/v1/tracks/0KyzXQhY2yzcb1FYCHkZc2,https://api.spotify.com/v1/audio-analysis/0KyzXQhY2yzcb1FYCHkZc2,241371,1,Blessed,Daniel Caesar,6
0.49,0.121,5,-18.532,1,0.029,0.872,0.0808,0.122,0.256,103.683,audio_features,5gSYmTVASekarEoK4puiRD,spotify:track:5gSYmTVASekarEoK4puiRD,https://api.spotify.com/v1/tracks/5gSYmTVASekarEoK4puiRD,https://api.spotify.com/v1/audio-analysis/5gSYmTVASekarEoK4puiRD,278293,4,Night And Day,Diana Krall,1
0.312,0.154,8,-10.955,0,0.0564,0.992,0.752,0.311,0.104,169.689,audio_features,5YbUsKDnZSuDiLx8MnDGiZ,spotify:track:5YbUsKDnZSuDiLx8MnDGiZ,https://api.spotify.com/v1/tracks/5YbUsKDnZSuDiLx8MnDGiZ,https://api.spotify.com/v1/audio-analysis/5YbUsKDnZSuDiLx8MnDGiZ,209493,4,Passione,Beniamino Gigli,6
0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,audio_features,2iJuuzV8P9Yz0VSurttIV5,spotify:track:2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/audio-analysis/2iJuuzV8P9Yz0VSurttIV5,283400,4,Scream & Shout,will.i.am,0
0.711,0.435,3,-8.59,1,0.0252,0.648,1.37e-05,0.0987,0.708,99.99,audio_features,0upXRpymKUwB3WOzMSzXeL,spotify:track:0upXRpymKUwB3WOzMSzXeL,https://api.spotify.com/v1/tracks/0upXRpymKUwB3WOzMSzXeL,https://api.spotify.com/v1/audio-analysis/0upXRpymKUwB3WOzMSzXeL,166720,4,Acércate Más,Natalie Cole,2
0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,audio_features,7FwBtcecmlpc1sLySPXeGE,spotify:track:7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/tracks/7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/audio-analysis/7FwBtcecmlpc1sLySPXeGE,241307,4,Dancing In the Dark,Bruce Springsteen,3
0.599,0.377,7,-9.829,1,0.105,0.441,0.00813,0.105,0.543,74.314,audio_features,5fBjPtOxhgdpU6LNWLyVHv,spotify:track:5fBjPtOxhgdpU6LNWLyVHv,https://api.spotify.com/v1/tracks/5fBjPtOxhgdpU6LNWLyVHv,https://api.spotify.com/v1/audio-analysis/5fBjPtOxhgdpU6LNWLyVHv,213137,4,Mad About You,Son Little,6
0.515,0.603,10,-6.246,1,0.0318,0.639,0.0,0.121,0.892,127.151,audio_features,361wxJRa6M2sH1Epy2MAC1,spotify:track:361wxJRa6M2sH1Epy2MAC1,https://api.spotify.com/v1/tracks/361wxJRa6M2sH1Epy2MAC1,https://api.spotify.com/v1/audio-analysis/361wxJRa6M2sH1Epy2MAC1,176627,4,Heartaches By The Number,Ray Price,4
0.688,0.334,8,-10.956,1,0.0286,0.814,0.0,0.22,0.327,118.4,audio_features,0wBw3pHkg67S7u3t7A1R7M,spotify:track:0wBw3pHkg67S7u3t7A1R7M,https://api.spotify.com/v1/tracks/0wBw3pHkg67S7u3t7A1R7M,https://api.spotify.com/v1/audio-analysis/0wBw3pHkg67S7u3t7A1R7M,221693,4,Ships That Don't Come In,Joe Diffie,6
0.699,0.613,5,-7.258,0,0.111,0.398,0.0,0.109,0.407,141.97,audio_features,0HJwJZTQ9NrYEIreAf1YMg,spotify:track:0HJwJZTQ9NrYEIreAf1YMg,https://api.spotify.com/v1/tracks/0HJwJZTQ9NrYEIreAf1YMg,https://api.spotify.com/v1/audio-analysis/0HJwJZTQ9NrYEIreAf1YMg,179114,4,on the surface,Lucidious,0
0.269,0.509,0,-9.982,0,0.0454,0.237,0.00106,0.579,0.517,202.222,audio_features,4AFHB8laVETw8ruPZscDbe,spotify:track:4AFHB8laVETw8ruPZscDbe,https://api.spotify.com/v1/tracks/4AFHB8laVETw8ruPZscDbe,https://api.spotify.com/v1/audio-analysis/4AFHB8laVETw8ruPZscDbe,244400,3,Remember (Walking In The Sand),Aerosmith,2
0.639,0.495,10,-9.446,1,0.0265,0.572,0.0,0.326,0.491,94.32,audio_features,0E7O4jaoBZv7CGC8oRk61T,spotify:track:0E7O4jaoBZv7CGC8oRk61T,https://api.spotify.com/v1/tracks/0E7O4jaoBZv7CGC8oRk61T,https://api.spotify.com/v1/audio-analysis/0E7O4jaoBZv7CGC8oRk61T,175800,4,Just Another Woman In Love,Anne Murray,6
0.567,0.199,9,-9.601,1,0.101,0.905,0.0,0.131,0.329,83.827,audio_features,3PbV3ocgAp3Xn0omGFC0cG,spotify:track:3PbV3ocgAp3Xn0omGFC0cG,https://api.spotify.com/v1/tracks/3PbV3ocgAp3Xn0omGFC0cG,https://api.spotify.com/v1/audio-analysis/3PbV3ocgAp3Xn0omGFC0cG,135707,5,Untitled,Rex Orange County,6
0.688,0.477,2,-8.764,1,0.0539,0.131,0.00664,0.088,0.374,150.214,audio_features,4LLNd36WeJKv8pzjGeoMXZ,spotify:track:4LLNd36WeJKv8pzjGeoMXZ,https://api.spotify.com/v1/tracks/4LLNd36WeJKv8pzjGeoMXZ,https://api.spotify.com/v1/audio-analysis/4LLNd36WeJKv8pzjGeoMXZ,224385,4,Backstage Pass (with Monte Booker & The Drums),Smino,2
